"hospital_code","service_plan","bed_all","bed_icu","bed_nicu","bed_ccu","bed_icu_otherwards","bed_icu_all","operation_room","cmi_2015","ip_2015","day_spent_2015","totaladjrw_2015","op_visit_2015"
11439,"F2",42,0,0,0,0,0,0,0.43,6160,19050,2697.61,76125
11441,"F2",38,0,0,0,0,0,0,0.58,3793,13497,2172.65,51743
11442,"F2",35,0,0,0,0,0,0,0.55,3908,13835,2161.12,91446
10748,"S",504,30,14,0,0,44,7,1.21,30179,162177,36628.25,563504
11460,"M2",73,0,1,0,0,1,2,0.64,5640,19340,3604.52,185237
11423,"F1",104,0,0,0,0,0,1,0.58,5830,20171,3408.22,117253
11464,"F2",32,0,0,0,0,0,0,0.51,2510,7568,1275.58,36984
11427,"F2",30,0,0,0,0,0,0,0.48,3391,8988,1616.15,101446
11425,"F2",38,0,0,0,0,0,0,0.48,2774,8512,1337.9,152649
11426,"F2",42,0,0,0,0,0,0,0.47,4051,12581,1913.29,134383
11431,"F2",18,0,0,0,0,0,0,0.47,1126,3333,528.54,79306
11428,"F2",30,0,0,0,0,0,0,0.44,1693,6201,742.89,59852
11430,"F2",49,0,0,0,0,0,0,0.47,4375,12854,2048.81,64951
11429,"F2",62,0,0,0,0,0,1,0.48,5732,17844,2765.69,95430
11424,"F2",44,0,0,0,0,0,0,0.5,4251,14572,2106.8,143836
10747,"S",445,14,10,0,11,35,11,1.16,33558,168422,41340.55,432778
11417,"M2",90,0,0,0,0,0,2,0.56,6831,20184,3815,182458
11416,"F1",30,0,0,0,0,0,1,0.5,2641,6331,1319.18,84066
11414,"F2",30,0,0,0,0,0,1,0.43,2127,4790,921.2,115412
11415,"F2",30,0,0,0,0,0,1,0.42,2868,6353,1211.44,78472
11421,"F2",30,0,0,0,0,0,1,0.47,2637,6439,1244.66,84687
11418,"F2",30,0,0,0,0,0,0,0.48,3615,8879,1734.12,102603
11420,"F2",30,0,0,0,0,0,1,0.49,3014,6675,1488.61,82338
11422,"F2",30,0,0,0,0,0,1,0.43,3428,7638,1413.71,103546
11419,"F2",30,0,0,0,0,0,1,0.51,1511,3572,773.93,57483
24673,"F3",30,0,0,0,0,0,1,0.5,2298,6162,1151,59338
10684,"A",479,16,12,0,25,53,13,1.37,49887,171620,42695.52,524025
10749,"M1",170,7,6,0,0,13,3,0.73,9056,30597,6610.88,230365
11434,"F1",89,0,0,0,0,0,1,0.49,9225,26050,4490,134829
11461,"F1",72,0,0,0,0,0,1,0.47,5665,16775,2652.92,105600
24689,"F2",30,0,0,0,0,0,0,0.46,2199,6817,1017,48492
13806,"F2",30,0,0,0,0,0,0,0.45,2486,7285,1109,43276
11433,"F2",29,0,0,0,0,0,0,0.43,3011,8764,1328,53142
11432,"F2",60,0,0,0,0,0,0,0.5,5178,16293,2568,88278
10682,"A",568,53,20,8,0,81,20,1.65,54805,277796,90436,948167
10745,"S",508,16,12,0,30,58,10,1.19,38270,171637,46349,661795
11388,"M2",121,2,2,0,0,4,3,0.66,7895,26698,5195,154218
11392,"F1",60,0,0,0,0,0,1,0.5,6333,16867,3146,137529
11393,"F2",30,0,0,0,0,0,0,0.46,1285,4256,586.22,30587
